,classe,f1_score,precision,recall,support
0,axe,0.44,0.44,0.44,481.0
1,bossa-nova,0.31,0.42,0.24,313.0
2,forro,0.53,0.56,0.5,1175.0
3,funk-carioca,0.7,0.71,0.69,475.0
4,gospel,0.89,0.86,0.92,3308.0
5,infantil,0.46,0.54,0.4,478.0
6,jovem-guarda,0.18,0.27,0.13,172.0
7,mpb,0.47,0.44,0.49,1664.0
8,pagode,0.46,0.38,0.59,789.0
9,pop,0.22,0.29,0.18,491.0
10,rock,0.45,0.48,0.42,795.0
11,samba,0.34,0.37,0.31,613.0
12,sertanejo,0.68,0.68,0.69,2757.0
13,velha-guarda,0.4,0.45,0.35,327.0
