,classe,f1_score,precision,recall,support
0,axe,0.33,0.42,0.27,913.0
1,bossa-nova,0.22,0.38,0.15,643.0
2,forro,0.38,0.43,0.33,2385.0
3,funk-carioca,0.56,0.58,0.55,921.0
4,gospel,0.87,0.82,0.92,6575.0
5,infantil,0.32,0.53,0.23,881.0
6,jovem-guarda,0.06,0.32,0.03,355.0
7,mpb,0.41,0.4,0.42,3347.0
8,pagode,0.28,0.29,0.28,1697.0
9,pop,0.11,0.26,0.07,913.0
10,rock,0.43,0.39,0.48,1681.0
11,samba,0.28,0.3,0.26,1263.0
12,sertanejo,0.6,0.52,0.71,5479.0
13,velha-guarda,0.25,0.38,0.18,620.0
