,classe,f1_score,precision,recall,support
0,axe,0.46,0.48,0.45,913.0
1,bossa-nova,0.31,0.35,0.29,643.0
2,forro,0.52,0.56,0.49,2385.0
3,funk-carioca,0.69,0.71,0.67,921.0
4,gospel,0.86,0.86,0.87,6575.0
5,infantil,0.43,0.46,0.4,881.0
6,jovem-guarda,0.18,0.24,0.14,355.0
7,mpb,0.46,0.42,0.51,3347.0
8,pagode,0.48,0.5,0.46,1697.0
9,pop,0.21,0.25,0.18,913.0
10,rock,0.46,0.5,0.42,1681.0
11,samba,0.34,0.34,0.34,1263.0
12,sertanejo,0.67,0.64,0.71,5479.0
13,velha-guarda,0.34,0.34,0.35,620.0
