,classe,f1_score,precision,recall,support
0,axe,0.32,0.42,0.27,481.0
1,bossa-nova,0.21,0.34,0.15,313.0
2,forro,0.39,0.44,0.36,1175.0
3,funk-carioca,0.54,0.57,0.52,475.0
4,gospel,0.87,0.82,0.92,3308.0
5,infantil,0.34,0.57,0.24,478.0
6,jovem-guarda,0.05,0.24,0.03,172.0
7,mpb,0.4,0.39,0.41,1664.0
8,pagode,0.29,0.28,0.3,789.0
9,pop,0.13,0.3,0.08,491.0
10,rock,0.4,0.36,0.46,795.0
11,samba,0.29,0.3,0.27,613.0
12,sertanejo,0.6,0.53,0.69,2757.0
13,velha-guarda,0.24,0.39,0.18,327.0
