,classe,f1_score,precision,recall,support
0,axe,0.46,0.43,0.49,913.0
1,bossa-nova,0.3,0.4,0.24,643.0
2,forro,0.54,0.58,0.5,2385.0
3,funk-carioca,0.7,0.72,0.68,921.0
4,gospel,0.88,0.85,0.91,6575.0
5,infantil,0.45,0.52,0.39,881.0
6,jovem-guarda,0.18,0.31,0.13,355.0
7,mpb,0.47,0.45,0.49,3347.0
8,pagode,0.48,0.41,0.59,1697.0
9,pop,0.22,0.28,0.18,913.0
10,rock,0.49,0.52,0.46,1681.0
11,samba,0.33,0.37,0.3,1263.0
12,sertanejo,0.69,0.67,0.71,5479.0
13,velha-guarda,0.33,0.39,0.29,620.0
