,classe,f1_score,precision,recall,support
0,axe,0.98,0.99,0.98,3198.0
1,bossa-nova,0.93,0.93,0.93,2149.0
2,forro,0.98,0.99,0.98,8301.0
3,funk-carioca,0.99,0.99,0.99,3161.0
4,gospel,1.0,1.0,1.0,23461.0
5,infantil,0.98,0.98,0.99,3191.0
6,jovem-guarda,0.95,0.96,0.95,1214.0
7,mpb,0.97,0.97,0.97,11774.0
8,pagode,0.99,0.98,0.99,5713.0
9,pop,0.98,0.97,0.98,3225.0
10,rock,0.99,0.99,0.99,5712.0
11,samba,0.96,0.97,0.95,4345.0
12,sertanejo,0.99,0.99,0.99,19181.0
13,velha-guarda,0.95,0.94,0.97,2232.0
