,classe,f1_score,precision,recall,support
0,axe,0.31,0.43,0.24,481.0
1,bossa-nova,0.23,0.32,0.18,313.0
2,forro,0.41,0.44,0.38,1175.0
3,funk-carioca,0.55,0.6,0.51,475.0
4,gospel,0.87,0.84,0.91,3308.0
5,infantil,0.38,0.54,0.29,478.0
6,jovem-guarda,0.03,0.21,0.02,172.0
7,mpb,0.42,0.36,0.52,1664.0
8,pagode,0.29,0.29,0.3,789.0
9,pop,0.1,0.22,0.06,491.0
10,rock,0.44,0.4,0.48,795.0
11,samba,0.23,0.35,0.17,613.0
12,sertanejo,0.6,0.56,0.66,2757.0
13,velha-guarda,0.24,0.3,0.2,327.0
