,classe,f1_score,precision,recall,support
0,axe,0.29,0.39,0.24,913.0
1,bossa-nova,0.21,0.33,0.16,643.0
2,forro,0.39,0.42,0.38,2385.0
3,funk-carioca,0.56,0.61,0.51,921.0
4,gospel,0.87,0.84,0.91,6575.0
5,infantil,0.34,0.48,0.26,881.0
6,jovem-guarda,0.03,0.21,0.02,355.0
7,mpb,0.43,0.36,0.53,3347.0
8,pagode,0.28,0.29,0.27,1697.0
9,pop,0.11,0.28,0.07,913.0
10,rock,0.41,0.39,0.44,1681.0
11,samba,0.25,0.36,0.2,1263.0
12,sertanejo,0.6,0.56,0.66,5479.0
13,velha-guarda,0.28,0.33,0.25,620.0
