,classe,f1_score,precision,recall,support
0,axe,0.47,0.48,0.47,913.0
1,bossa-nova,0.3,0.34,0.27,643.0
2,forro,0.53,0.54,0.53,2385.0
3,funk-carioca,0.7,0.68,0.72,921.0
4,gospel,0.88,0.86,0.9,6575.0
5,infantil,0.47,0.55,0.41,881.0
6,jovem-guarda,0.19,0.28,0.14,355.0
7,mpb,0.47,0.45,0.49,3347.0
8,pagode,0.48,0.48,0.48,1697.0
9,pop,0.22,0.29,0.18,913.0
10,rock,0.48,0.52,0.44,1681.0
11,samba,0.35,0.37,0.34,1263.0
12,sertanejo,0.68,0.64,0.73,5479.0
13,velha-guarda,0.37,0.41,0.34,620.0
