,classe,f1_score,precision,recall,support
0,axe,0.49,0.62,0.41,913.0
1,bossa-nova,0.29,0.43,0.22,643.0
2,forro,0.54,0.59,0.5,2385.0
3,funk-carioca,0.72,0.76,0.69,921.0
4,gospel,0.88,0.85,0.92,6575.0
5,infantil,0.46,0.56,0.38,881.0
6,jovem-guarda,0.22,0.28,0.18,355.0
7,mpb,0.48,0.48,0.48,3347.0
8,pagode,0.49,0.49,0.49,1697.0
9,pop,0.23,0.28,0.19,913.0
10,rock,0.51,0.51,0.52,1681.0
11,samba,0.35,0.35,0.36,1263.0
12,sertanejo,0.69,0.63,0.76,5479.0
13,velha-guarda,0.39,0.35,0.44,620.0
