,classe,f1_score,precision,recall,support
0,axe,0.45,0.47,0.43,481.0
1,bossa-nova,0.32,0.35,0.29,313.0
2,forro,0.54,0.55,0.53,1175.0
3,funk-carioca,0.68,0.66,0.7,475.0
4,gospel,0.89,0.86,0.91,3308.0
5,infantil,0.47,0.53,0.42,478.0
6,jovem-guarda,0.15,0.22,0.12,172.0
7,mpb,0.47,0.46,0.48,1664.0
8,pagode,0.47,0.46,0.48,789.0
9,pop,0.23,0.29,0.19,491.0
10,rock,0.47,0.5,0.44,795.0
11,samba,0.36,0.38,0.35,613.0
12,sertanejo,0.69,0.65,0.73,2757.0
13,velha-guarda,0.37,0.39,0.34,327.0
