,classe,f1_score,precision,recall,support
0,axe,0.45,0.6,0.37,481.0
1,bossa-nova,0.29,0.42,0.22,313.0
2,forro,0.54,0.6,0.5,1175.0
3,funk-carioca,0.7,0.73,0.68,475.0
4,gospel,0.89,0.85,0.93,3308.0
5,infantil,0.51,0.62,0.43,478.0
6,jovem-guarda,0.23,0.26,0.2,172.0
7,mpb,0.46,0.46,0.45,1664.0
8,pagode,0.49,0.48,0.5,789.0
9,pop,0.23,0.28,0.19,491.0
10,rock,0.49,0.48,0.5,795.0
11,samba,0.36,0.35,0.37,613.0
12,sertanejo,0.69,0.64,0.75,2757.0
13,velha-guarda,0.43,0.39,0.47,327.0
