,classe,f1_score,precision,recall,support
0,axe,0.46,0.49,0.44,481.0
1,bossa-nova,0.23,0.51,0.15,313.0
2,forro,0.54,0.58,0.51,1175.0
3,funk-carioca,0.7,0.68,0.72,475.0
4,gospel,0.89,0.86,0.93,3308.0
5,infantil,0.5,0.55,0.45,478.0
6,jovem-guarda,0.2,0.53,0.12,172.0
7,mpb,0.48,0.48,0.48,1664.0
8,pagode,0.47,0.48,0.46,789.0
9,pop,0.2,0.38,0.14,491.0
10,rock,0.52,0.49,0.54,795.0
11,samba,0.36,0.4,0.33,613.0
12,sertanejo,0.68,0.61,0.77,2757.0
13,velha-guarda,0.42,0.43,0.42,327.0
