,classe,f1_score,precision,recall,support
0,axe,0.45,0.52,0.39,481.0
1,bossa-nova,0.32,0.36,0.28,313.0
2,forro,0.51,0.54,0.49,1175.0
3,funk-carioca,0.65,0.65,0.66,475.0
4,gospel,0.86,0.86,0.87,3308.0
5,infantil,0.46,0.49,0.43,478.0
6,jovem-guarda,0.19,0.22,0.16,172.0
7,mpb,0.44,0.4,0.49,1664.0
8,pagode,0.46,0.47,0.46,789.0
9,pop,0.19,0.24,0.16,491.0
10,rock,0.44,0.46,0.42,795.0
11,samba,0.33,0.32,0.33,613.0
12,sertanejo,0.66,0.64,0.68,2757.0
13,velha-guarda,0.34,0.33,0.36,327.0
