,classe,f1_score,precision,recall,support
0,axe,0.45,0.54,0.39,913.0
1,bossa-nova,0.31,0.35,0.28,643.0
2,forro,0.53,0.56,0.51,2385.0
3,funk-carioca,0.68,0.67,0.7,921.0
4,gospel,0.86,0.85,0.87,6575.0
5,infantil,0.41,0.45,0.37,881.0
6,jovem-guarda,0.2,0.26,0.17,355.0
7,mpb,0.45,0.43,0.47,3347.0
8,pagode,0.48,0.47,0.5,1697.0
9,pop,0.21,0.21,0.21,913.0
10,rock,0.45,0.43,0.48,1681.0
11,samba,0.34,0.36,0.33,1263.0
12,sertanejo,0.67,0.67,0.67,5479.0
13,velha-guarda,0.35,0.33,0.36,620.0
